city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Buenos Aires,-34.5997,-58.3819,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,16710000,3054300
Córdoba,-31.4167,-64.1833,Argentina,AR,Córdoba,admin,1565112,1329604
Rosario,-32.9575,-60.6394,Argentina,AR,Santa Fe,minor,1276000,1193605
Santiago del Estero,-27.7833,-64.2667,Argentina,AR,Santiago del Estero,admin,911506,430280
Comodoro Rivadavia,-45.8647,-67.4808,Argentina,AR,Chubut,minor,730266,730266
Mar del Plata,-38.0000,-57.5500,Argentina,AR,Buenos Aires,minor,682605,593337
San Miguel de Tucumán,-26.8167,-65.2167,Argentina,AR,Tucumán,admin,605767,605767
Salta,-24.7833,-65.4167,Argentina,AR,Salta,admin,535303,535303
San Juan,-31.5342,-68.5261,Argentina,AR,San Juan,admin,471389,471389
Lanús,-34.7000,-58.4000,Argentina,AR,Buenos Aires,minor,459263,459263
Florencio Varela,-34.8167,-58.2833,Argentina,AR,Buenos Aires,,426005,426005
Santa Fe,-31.6333,-60.7000,Argentina,AR,Santa Fe,admin,405683,405683
Corrientes,-27.4833,-58.8167,Argentina,AR,Corrientes,admin,352646,352646
San Salvador de Jujuy,-24.1833,-65.3000,Argentina,AR,Jujuy,admin,321789,321789
Bahía Blanca,-38.7167,-62.2667,Argentina,AR,Buenos Aires,minor,301572,299101
Resistencia,-27.4514,-58.9867,Argentina,AR,Chaco,admin,291720,291720
Posadas,-27.3667,-55.9000,Argentina,AR,Misiones,admin,275988,275988
Quilmes,-34.7167,-58.2667,Argentina,AR,Buenos Aires,minor,262379,262379
Paraná,-31.7331,-60.5297,Argentina,AR,Entre Ríos,admin,247863,247863
Merlo,-34.6653,-58.7275,Argentina,AR,Buenos Aires,minor,244168,244168
González Catán,-34.7667,-58.6167,Argentina,AR,Buenos Aires,,238067,238067
Formosa,-26.1833,-58.1833,Argentina,AR,Formosa,admin,234000,222226
Neuquén,-38.9525,-68.0642,Argentina,AR,Neuquén,admin,231198,231198
Banfield,-34.7500,-58.3833,Argentina,AR,Buenos Aires,,223898,223898
José C. Paz,-34.5167,-58.7667,Argentina,AR,Buenos Aires,minor,216637,216637
La Plata,-34.9211,-57.9544,Argentina,AR,Buenos Aires,admin,193144,193144
Godoy Cruz,-32.9167,-68.8333,Argentina,AR,Mendoza,minor,191299,191299
Isidro Casanova,-34.7000,-58.5833,Argentina,AR,Buenos Aires,,190696,190696
Las Heras,-32.8500,-68.8167,Argentina,AR,Mendoza,minor,189067,66663
La Rioja,-29.4125,-66.8542,Argentina,AR,La Rioja,admin,180995,180995
Berazategui,-34.7167,-58.2500,Argentina,AR,Buenos Aires,minor,180523,180523
San Luis,-33.3000,-66.3333,Argentina,AR,San Luis,admin,169947,169947
General Roca,-39.0333,-67.5833,Argentina,AR,Río Negro,minor,160954,160954
José María Ezeiza,-34.8333,-58.5167,Argentina,AR,Buenos Aires,minor,160219,160219
San Nicolás de los Arroyos,-33.3333,-60.2167,Argentina,AR,Buenos Aires,minor,160000,160000
Catamarca,-28.4667,-65.7833,Argentina,AR,Catamarca,admin,159139,159139
Río Cuarto,-33.1333,-64.3500,Argentina,AR,Córdoba,minor,158298,157010
San Miguel,-34.5333,-58.7167,Argentina,AR,Buenos Aires,,157532,157532
Concordia,-31.4000,-58.0333,Argentina,AR,Entre Ríos,minor,149450,149450
Rafael Castillo,-34.7167,-58.6167,Argentina,AR,Buenos Aires,,147965,147965
Florencio Varela,-34.8167,-58.3833,Argentina,AR,Buenos Aires,minor,146704,146704
San Justo,-34.6833,-58.5500,Argentina,AR,Buenos Aires,minor,136604,136604
Ituzaingó,-34.6667,-58.6667,Argentina,AR,Buenos Aires,minor,135275,135275
Temperley,-34.7667,-58.3833,Argentina,AR,Buenos Aires,,121451,121451
Ramos Mejía,-34.6500,-58.5667,Argentina,AR,Buenos Aires,,120346,120346
San Rafael,-34.6000,-68.3333,Argentina,AR,Mendoza,minor,118009,118009
San Martín,-33.0806,-68.4706,Argentina,AR,Mendoza,minor,117399,79476
Tandil,-37.3167,-59.1333,Argentina,AR,Buenos Aires,minor,116917,116917
Puerto Madryn,-42.7667,-65.0500,Argentina,AR,Chubut,minor,115353,115353
Mendoza,-32.8833,-68.8167,Argentina,AR,Mendoza,admin,115041,114822
San Carlos de Bariloche,-41.1500,-71.3000,Argentina,AR,Río Negro,minor,112887,112887
Lomas de Zamora,-34.7667,-58.4000,Argentina,AR,Buenos Aires,minor,112580,112580
Villa Mercedes,-33.6667,-65.4667,Argentina,AR,San Luis,minor,111391,111391
Bernal,-34.7000,-58.2833,Argentina,AR,Buenos Aires,,109914,109914
Esteban Echeverría,-34.8167,-58.4667,Argentina,AR,Buenos Aires,,109644,109644
Gualeguaychú,-33.0167,-58.5167,Argentina,AR,Entre Ríos,minor,109461,109461
Castelar,-34.6667,-58.6667,Argentina,AR,Buenos Aires,,107786,107786
Villa Krause,-31.5833,-68.5333,Argentina,AR,San Juan,minor,107778,107778
Luján,-34.5667,-59.1000,Argentina,AR,Buenos Aires,minor,106899,106899
Maipú,-32.9667,-68.7500,Argentina,AR,Mendoza,minor,106662,106662
La Banda,-27.7333,-64.2500,Argentina,AR,Santiago del Estero,minor,106441,106441
Santa Rosa,-36.6167,-64.2833,Argentina,AR,La Pampa,admin,102880,102860
Libertad,-34.6833,-58.6833,Argentina,AR,Buenos Aires,,100324,100324
Morón,-34.6500,-58.6167,Argentina,AR,Buenos Aires,minor,99066,99066
Burzaco,-34.8167,-58.3667,Argentina,AR,Buenos Aires,,98859,98859
Zárate,-34.0833,-59.0333,Argentina,AR,Buenos Aires,minor,98522,98522
Trelew,-43.2500,-65.3000,Argentina,AR,Chubut,,97915,97915
Río Gallegos,-51.6233,-69.2161,Argentina,AR,Santa Cruz,admin,95796,95796
Caseros,-34.6106,-58.5625,Argentina,AR,Buenos Aires,minor,95785,95785
Villa Luzuriaga,-34.6667,-58.5833,Argentina,AR,Buenos Aires,,94403,94403
Ciudad General Belgrano,-34.7167,-58.5333,Argentina,AR,Buenos Aires,,92957,92957
Rafaela,-31.2667,-61.4833,Argentina,AR,Santa Fe,minor,92945,92945
San Francisco Solano,-34.7667,-58.3167,Argentina,AR,Buenos Aires,,91322,91322
Necochea,-38.5500,-58.7333,Argentina,AR,Buenos Aires,minor,90000,90000
Presidencia Roque Sáenz Peña,-26.7833,-60.4500,Argentina,AR,Chaco,minor,89882,89882
Olavarría,-36.9000,-60.3333,Argentina,AR,Buenos Aires,minor,89721,89721
Berisso,-34.8728,-57.8858,Argentina,AR,Buenos Aires,minor,87698,87698
Pergamino,-33.8836,-60.5669,Argentina,AR,Buenos Aires,minor,87652,87652
Chimbas,-31.5000,-68.5319,Argentina,AR,San Juan,minor,87258,87258
Campana,-34.1667,-58.9167,Argentina,AR,Buenos Aires,minor,86860,86860
Junín,-34.5833,-60.9500,Argentina,AR,Buenos Aires,minor,85420,85420
General Rodríguez,-34.6167,-58.9500,Argentina,AR,Buenos Aires,minor,85315,85315
Grand Bourg,-34.4833,-58.7167,Argentina,AR,Buenos Aires,,85189,85189
Monte Chingolo,-34.7333,-58.3500,Argentina,AR,Buenos Aires,,85060,85060
Rivadavia,-31.5303,-68.5947,Argentina,AR,San Juan,minor,82582,82582
Rivadavia,-33.1833,-68.4667,Argentina,AR,Mendoza,minor,82582,82582
Puerto Iguazú,-25.6000,-54.5667,Argentina,AR,Misiones,,82227,82227
Remedios de Escalada,-34.7167,-58.4000,Argentina,AR,Buenos Aires,,81465,81465
Pilar,-34.4588,-58.9142,Argentina,AR,Buenos Aires,minor,81120,81120
Gobernador Gálvez,-33.0256,-60.6336,Argentina,AR,Santa Fe,,80769,80769
Viedma,-40.8000,-63.0000,Argentina,AR,Río Negro,admin,80632,80632
Ezpeleta,-34.7517,-58.2344,Argentina,AR,Buenos Aires,,79557,79557
Villa María,-32.4103,-63.2314,Argentina,AR,Córdoba,minor,79356,79351
Villa Celina,-34.7006,-58.4825,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",,78699,78699
Venado Tuerto,-33.7500,-61.9667,Argentina,AR,Santa Fe,,76432,76432
San Ramón de la Nueva Orán,-23.1333,-64.3333,Argentina,AR,Salta,minor,76070,76070
El Palomar,-34.6167,-58.5833,Argentina,AR,Buenos Aires,,74757,74757
Reconquista,-29.1443,-59.6438,Argentina,AR,Santa Fe,minor,73293,73293
Ciudadela,-34.6333,-58.5333,Argentina,AR,Buenos Aires,,73155,73155
Luján de Cuyo,-32.9980,-68.8730,Argentina,AR,Mendoza,minor,73058,73058
Concepción del Uruguay,-32.4833,-58.2333,Argentina,AR,Entre Ríos,minor,72528,72528
Goya,-29.1333,-59.2500,Argentina,AR,Corrientes,minor,72304,72304
Bella Vista,-34.5333,-58.6667,Argentina,AR,Buenos Aires,,72000,72000
Lomas del Mirador,-34.6667,-58.5297,Argentina,AR,Buenos Aires,,71479,71479
San Pedro,-33.6794,-59.6669,Argentina,AR,Buenos Aires,minor,69616,69616
Oberá,-27.4833,-55.1333,Argentina,AR,Misiones,minor,66112,66112
Wilde,-34.7000,-58.3167,Argentina,AR,Buenos Aires,,65881,65881
Martínez,-34.4833,-58.5000,Argentina,AR,Buenos Aires,,65859,65859
Santo Tomé,-31.6667,-60.7667,Argentina,AR,Santa Fe,,65684,65684
Don Torcuato,-34.5000,-58.6167,Argentina,AR,Buenos Aires,,64867,64867
Gerli,-34.6833,-58.3667,Argentina,AR,Buenos Aires,,64640,64640
Pirané,-25.7328,-59.1100,Argentina,AR,Formosa,minor,64556,64556
Mercedes,-34.6500,-59.4333,Argentina,AR,Buenos Aires,minor,63284,63284
Banda del Río Salí,-26.8500,-65.1667,Argentina,AR,Tucumán,minor,63226,63226
Tartagal,-22.5000,-63.8333,Argentina,AR,Salta,minor,63196,63196
Villa Carlos Paz,-31.4000,-64.5167,Argentina,AR,Córdoba,,62423,62423
Villa Domínico,-34.6917,-58.3333,Argentina,AR,Buenos Aires,,62315,62315
San Francisco,-31.4356,-62.0714,Argentina,AR,Córdoba,minor,62001,62001
Los Polvorines,-34.5000,-58.7000,Argentina,AR,Buenos Aires,minor,60867,60867
Sarandí,-34.6833,-58.3333,Argentina,AR,Buenos Aires,,60752,60752
Hurlingham,-34.5883,-58.6392,Argentina,AR,Buenos Aires,minor,60000,60000
Garín,-34.4167,-58.7500,Argentina,AR,Buenos Aires,,59335,59335
Beccar,-34.4667,-58.5167,Argentina,AR,Buenos Aires,,58811,58811
San Pedro,-24.2196,-64.8700,Argentina,AR,Jujuy,minor,58430,58430
Punta Alta,-38.8800,-62.0750,Argentina,AR,Buenos Aires,minor,58315,58315
Chivilcoy,-34.9000,-60.0167,Argentina,AR,Buenos Aires,minor,58152,58152
Glew,-34.8833,-58.3833,Argentina,AR,Buenos Aires,,57878,57878
Cosquín,-31.2436,-64.4653,Argentina,AR,Córdoba,minor,57458,57458
Eldorado,-26.4000,-54.6333,Argentina,AR,Misiones,minor,57323,57323
General Pico,-35.6667,-63.7333,Argentina,AR,La Pampa,minor,57029,56795
Ushuaia,-54.8019,-68.3031,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",admin,56956,56956
Rafael Calzada,-34.7833,-58.3667,Argentina,AR,Buenos Aires,,56419,56419
Azul,-36.7833,-59.8500,Argentina,AR,Buenos Aires,minor,55728,55728
Barranqueras,-27.4833,-58.9333,Argentina,AR,Chaco,,54698,54698
Belén de Escobar,-34.3333,-58.8167,Argentina,AR,Buenos Aires,minor,54678,54678
Ensenada,-34.8644,-57.9103,Argentina,AR,Buenos Aires,minor,54463,54463
Mariano Acosta,-34.7167,-58.7833,Argentina,AR,Buenos Aires,,54081,54081
Clorinda,-25.2833,-57.7167,Argentina,AR,Formosa,minor,52837,52837
Guernica,-34.9167,-58.3833,Argentina,AR,Buenos Aires,minor,52529,52529
Cruz del Eje,-30.7333,-64.8000,Argentina,AR,Córdoba,minor,52172,52172
El Talar de Pacheco,-34.4719,-58.6550,Argentina,AR,Buenos Aires,,50426,50426
Palpalá,-24.2500,-65.1167,Argentina,AR,Jujuy,minor,50183,50183
Yerba Buena,-26.8167,-65.3167,Argentina,AR,Tucumán,minor,50057,50057
Concepción,-27.3333,-65.5833,Argentina,AR,Tucumán,minor,49782,49782
Villaguay,-31.8500,-59.0167,Argentina,AR,Entre Ríos,minor,49445,49445
Libertador General San Martín,-23.8000,-64.7833,Argentina,AR,Jujuy,minor,49267,46642
Tunuyán,-33.5667,-69.0167,Argentina,AR,Mendoza,minor,49132,49132
Florida,-34.5167,-58.5000,Argentina,AR,Buenos Aires,,48158,48158
Alta Gracia,-31.6667,-64.4333,Argentina,AR,Córdoba,minor,48140,48140
La Reja,-34.6394,-58.8283,Argentina,AR,Buenos Aires,,47839,47839
San Lorenzo,-28.1200,-58.7700,Argentina,AR,Corrientes,,47626,47626
Longchamps,-34.8500,-58.3833,Argentina,AR,Buenos Aires,,47622,47622
Catriel,-37.8667,-67.8333,Argentina,AR,Río Negro,,47569,47569
Villa Constitución,-33.2333,-60.3333,Argentina,AR,Santa Fe,minor,47374,47374
General Martín Miguel de Güemes,-24.6667,-65.0500,Argentina,AR,Salta,minor,47348,47348
Tres Arroyos,-38.3667,-60.2667,Argentina,AR,Buenos Aires,minor,47136,47136
Río Tercero,-32.1833,-64.1000,Argentina,AR,Córdoba,,46421,46421
San Lorenzo,-32.7500,-60.7333,Argentina,AR,Santa Fe,,46239,46239
Chajarí,-30.7667,-57.9833,Argentina,AR,Entre Ríos,,45848,45848
Pinamar,-37.1000,-56.8500,Argentina,AR,Buenos Aires,minor,45000,45000
Balcarce,-37.8456,-58.2578,Argentina,AR,Buenos Aires,minor,44796,44796
San Isidro,-34.4667,-58.5167,Argentina,AR,Buenos Aires,minor,43595,43595
Esperanza,-31.4167,-60.9333,Argentina,AR,Santa Fe,minor,43300,42082
General Pacheco,-34.4500,-58.6500,Argentina,AR,Buenos Aires,,43287,43287
Paso de los Libres,-29.7167,-57.0833,Argentina,AR,Corrientes,minor,43251,43251
Dock Sur,-34.6417,-58.3478,Argentina,AR,Buenos Aires,,43168,43168
Gualeguay,-33.1500,-59.3333,Argentina,AR,Entre Ríos,minor,43009,43009
Llavallol,-34.7667,-58.3833,Argentina,AR,Buenos Aires,,41463,41463
Villa Ángela,-27.5833,-60.7167,Argentina,AR,Chaco,minor,41403,41403
Claypole,-34.8000,-58.3333,Argentina,AR,Buenos Aires,,41176,41176
Villa Alsina,-34.6667,-58.4167,Argentina,AR,Buenos Aires,,41155,41155
José Mármol,-34.7833,-58.3667,Argentina,AR,Buenos Aires,,41109,41109
Apóstoles,-27.9167,-55.7667,Argentina,AR,Misiones,minor,40858,40858
Tafí Viejo,-26.7333,-65.2667,Argentina,AR,Tucumán,minor,39601,39601
Marcos Paz,-34.7667,-58.8333,Argentina,AR,Buenos Aires,minor,39151,39151
Ingeniero Pablo Nogués,-34.4667,-58.7667,Argentina,AR,Buenos Aires,,38470,38470
Alderetes,-26.8167,-65.1333,Argentina,AR,Tucumán,,38466,38466
Chacabuco,-34.6333,-60.4667,Argentina,AR,Buenos Aires,minor,38418,38418
Aristóbulo del Valle,-27.1167,-54.9167,Argentina,AR,Misiones,,38000,38000
Haedo,-34.6500,-58.6000,Argentina,AR,Buenos Aires,,37745,37745
Granadero Baigorria,-32.8500,-60.7000,Argentina,AR,Santa Fe,,36994,36994
Nueve de Julio,-35.4500,-60.8833,Argentina,AR,Buenos Aires,minor,36494,36494
Munro,-34.5333,-58.5167,Argentina,AR,Buenos Aires,,35844,35844
Cutral-Có,-38.9333,-69.2333,Argentina,AR,Neuquén,,35465,35465
Villa Adelina,-34.5175,-58.5475,Argentina,AR,Buenos Aires,,35307,35307
Casilda,-33.0500,-61.1667,Argentina,AR,Santa Fe,minor,35058,35058
Centenario,-38.8000,-68.1333,Argentina,AR,Neuquén,,34421,34421
Bell Ville,-32.6333,-62.6833,Argentina,AR,Córdoba,minor,33835,33835
Chilecito,-29.1667,-67.5000,Argentina,AR,La Rioja,minor,33724,33724
Chascomús,-35.5750,-58.0089,Argentina,AR,Buenos Aires,minor,33607,33607
Bragado,-35.1167,-60.5000,Argentina,AR,Buenos Aires,minor,33222,33222
City Bell,-34.8500,-58.0500,Argentina,AR,Buenos Aires,,32646,32646
Plottier,-38.9500,-68.2333,Argentina,AR,Neuquén,,32390,32390
La Calera,-31.3439,-64.3353,Argentina,AR,Córdoba,,32227,32227
Termas de Río Hondo,-27.4833,-64.8667,Argentina,AR,Santiago del Estero,minor,32116,32116
Aguilares,-27.4333,-65.6167,Argentina,AR,Tucumán,minor,32097,32097
Zapala,-38.9000,-70.0667,Argentina,AR,Neuquén,minor,32097,32097
Quitilipi,-26.8667,-60.2167,Argentina,AR,Chaco,minor,32083,32083
Cañuelas,-35.0333,-58.7333,Argentina,AR,Buenos Aires,minor,31901,31901
General José de San Martín,-26.5375,-59.3417,Argentina,AR,Chaco,minor,31758,31758
Jesús María,-30.9833,-64.1000,Argentina,AR,Córdoba,minor,31602,31602
Lobos,-35.1833,-59.0833,Argentina,AR,Buenos Aires,minor,31190,31190
Pichanal,-23.3167,-64.2167,Argentina,AR,Salta,,30903,30903
Gobernador Virasora,-28.0500,-56.0333,Argentina,AR,Corrientes,,30666,30666
Miramar,-38.2667,-57.8333,Argentina,AR,Buenos Aires,minor,30100,30100
Villa Regina,-39.1000,-67.0667,Argentina,AR,Río Negro,,30028,30028
Villa Dolores,-31.9333,-65.2000,Argentina,AR,Córdoba,,29854,29854
Villa Gesell,-37.2556,-56.9681,Argentina,AR,Buenos Aires,minor,29593,29593
Capitán Bermúdez,-32.8167,-60.7167,Argentina,AR,Santa Fe,,29218,29218
Cañada de Gómez,-32.8167,-61.4000,Argentina,AR,Santa Fe,minor,29205,29205
Bella Vista,-28.4667,-59.0500,Argentina,AR,Corrientes,minor,29071,29071
Garupá,-27.4833,-55.8333,Argentina,AR,Misiones,,28814,28814
Baradero,-33.8000,-59.5167,Argentina,AR,Buenos Aires,minor,28537,28537
Villa Allende,-31.3000,-64.3000,Argentina,AR,Córdoba,,28374,28374
Adrogue,-34.8000,-58.3833,Argentina,AR,Buenos Aires,,28265,28265
Lincoln,-34.8500,-61.5167,Argentina,AR,Buenos Aires,minor,28051,28051
San Martín de los Andes,-40.1667,-71.3500,Argentina,AR,Neuquén,minor,27956,27956
Marcos Juárez,-32.7000,-62.1000,Argentina,AR,Córdoba,minor,27004,27004
Las Flores,-36.0139,-59.1000,Argentina,AR,Buenos Aires,minor,26651,26651
Charata,-27.2167,-61.2000,Argentina,AR,Chaco,minor,26497,26497
Pérez,-33.0000,-60.7667,Argentina,AR,Santa Fe,,26448,26448
Arrecifes,-34.0667,-60.1167,Argentina,AR,Buenos Aires,minor,26400,26400
Muñiz,-34.5333,-58.7000,Argentina,AR,Buenos Aires,,26221,26221
Dolores,-36.3167,-57.6667,Argentina,AR,Buenos Aires,minor,25940,25940
Firmat,-33.4500,-61.4833,Argentina,AR,Santa Fe,,25757,25757
Mar de Ajó,-36.7203,-56.6878,Argentina,AR,Buenos Aires,,25520,25520
Leandro N. Alem,-27.6000,-55.3333,Argentina,AR,Misiones,minor,25404,25404
Tres Isletas,-26.3500,-60.4167,Argentina,AR,Chaco,minor,24747,24747
Rawson,-43.3000,-65.1000,Argentina,AR,Chubut,admin,24616,24616
Avellaneda,-34.6625,-58.3678,Argentina,AR,Buenos Aires,minor,24313,24313
La Paz,-30.7500,-59.6500,Argentina,AR,Entre Ríos,minor,24307,24307
Tapiales,-34.7058,-58.5047,Argentina,AR,Buenos Aires,,23586,23586
Funes,-32.9167,-60.8167,Argentina,AR,Santa Fe,,23520,23520
Monte Caseros,-30.2500,-57.6500,Argentina,AR,Corrientes,minor,23470,23470
Veinticinco de Mayo,-35.4167,-60.1667,Argentina,AR,Buenos Aires,minor,23408,23408
Avellaneda,-29.1175,-59.6583,Argentina,AR,Santa Fe,,23341,23341
Santo Tomé,-28.5500,-56.0500,Argentina,AR,Corrientes,minor,23299,23299
Monteros,-27.1667,-65.5000,Argentina,AR,Tucumán,minor,23274,23274
Colón,-33.8833,-61.1000,Argentina,AR,Buenos Aires,minor,23171,23171
Colón,-32.2167,-58.1333,Argentina,AR,Entre Ríos,minor,23150,23150
Manuel B. Gonnet,-34.8500,-58.0167,Argentina,AR,Buenos Aires,,22963,22963
Las Breñas,-27.0667,-61.0667,Argentina,AR,Chaco,minor,22953,22953
Famaillá,-27.0500,-65.4000,Argentina,AR,Tucumán,minor,22924,22924
Allen,-38.9667,-67.8333,Argentina,AR,Río Negro,,22859,22859
Nogoyá,-32.4000,-59.8000,Argentina,AR,Entre Ríos,minor,22824,22824
Cinco Saltos,-38.8167,-68.0667,Argentina,AR,Río Negro,,22790,22790
Arroyito,-31.4167,-63.0500,Argentina,AR,Córdoba,,22726,22726
Melchor Romero,-34.9492,-58.0472,Argentina,AR,Buenos Aires,,22511,22511
Río Ceballos,-31.1667,-64.3167,Argentina,AR,Córdoba,,22432,22432
Vicente López,-34.5333,-58.4750,Argentina,AR,Buenos Aires,,22419,22419
San Martín,-31.4397,-68.5206,Argentina,AR,San Juan,minor,22046,22046
Machagai,-26.9167,-60.0333,Argentina,AR,Chaco,minor,21997,21997
San Justo,-30.7833,-60.5833,Argentina,AR,Santa Fe,minor,21624,21624
Rosario de Lerma,-24.9833,-65.5833,Argentina,AR,Salta,minor,21592,21592
Alejandro Korn,-34.9667,-58.3667,Argentina,AR,Buenos Aires,,21407,21407
Carlos Casares,-35.6167,-61.3667,Argentina,AR,Buenos Aires,minor,21125,21125
San Isidro de Lules,-26.9333,-65.3500,Argentina,AR,Tucumán,minor,21088,21088
Don Bosco,-34.7000,-58.2833,Argentina,AR,Buenos Aires,,20876,20876
Profesor Salvador Mazza,-22.0500,-63.7000,Argentina,AR,Salta,,20670,20670
Arroyo Seco,-33.1667,-60.5000,Argentina,AR,Santa Fe,,20620,20620
Sunchales,-30.9333,-61.5667,Argentina,AR,Santa Fe,,20537,20537
Matheu,-34.3667,-58.8333,Argentina,AR,Buenos Aires,,19964,19964
Brandsen,-35.1667,-58.2167,Argentina,AR,Buenos Aires,minor,19877,19877
Río Segundo,-31.6501,-63.9116,Argentina,AR,Córdoba,,19713,19713
Crespo,-32.0333,-60.3167,Argentina,AR,Entre Ríos,,19536,19536
Diamante,-32.0667,-60.6500,Argentina,AR,Entre Ríos,minor,19142,19142
